row,denominazione,ragione_sociale,partita_iva,settore_raw,settore_mapped,result,tenant_id,message
2,STIMA,STIMA,03695410872,FOOD,alimentare,dry_run_would_create,,"OK (dry-run)"
3,AGRUMIGEL,AGRUMIGEL,01549800835,FOOD,alimentare,dry_run_would_create,,"OK (dry-run)"
4,GUARDIAN,"The Guardian S.R.L. - Servizi di vigilanza",04664030873,ALTRO,altro,dry_run_would_create,,"OK (dry-run)"
5,APSEMA,"Area Progettazione - Università di Catania",02772010878,ALTRO,altro,dry_run_would_create,,"OK (dry-run)"
6,ORTOGEL,ORTOGEL,00678650870,FOOD,alimentare,dry_run_would_create,,"OK (dry-run)"
7,AMENTA,"OMNIA SANO Società Consortile a r.l.",02601390814,SANITA',sanita,dry_run_would_create,,"OK (dry-run)"
8,AGRODISTRIBUZIONE,"Gruttadauria & Consiglio Agro Distribuzioni S.R.L.",02004970857,FOOD,alimentare,dry_run_would_create,,"OK (dry-run)"
9,ARA,"A.R.A. Società Cooperativa Sociale",05461910878,ALTRO,altro,dry_run_would_create,,"OK (dry-run)"
10,BIOALMOUND,BIOALMOUND,05627680878,FOOD,alimentare,dry_run_would_create,,"OK (dry-run)"
11,"CASA ANNUNZIATA","Associazione Comunità Papa Giovanni XXIII",01433850409,SANITA',sanita,skipped_duplicate,29,"Tenant già presente (Partita IVA)"
12,"CONAL FOOD","CONAL FOOD",03731020792,FOOD,alimentare,dry_run_would_create,,"OK (dry-run)"
13,MEDTEC,MEDTEC,04914270873,ALTRO,altro,dry_run_would_create,,"OK (dry-run)"
14,MORGAGNI,"Centro Clinico e Diagnostico G.B. Morgagni S.R.L.",00248620874,SANITA',sanita,dry_run_would_create,,"OK (dry-run)"
15,PL3,"PL3 & Partners S.R.L.",04618690962,ALTRO,altro,dry_run_would_create,,"OK (dry-run)"
16,SALUS,"Salus Mangialavori S.R.L.",02010240790,SANITA',sanita,dry_run_would_create,,"OK (dry-run)"
17,LABOGEST,"Labogest S.R.L.",01976890796,SANITA',sanita,dry_run_would_create,,"OK (dry-run)"
18,"PMA PAPARDO","Azienda Ospedaliera Papardo - Ente pubblico",03051880833,SANITA',sanita,dry_run_would_create,,"OK (dry-run)"
19,CIEFFE,"CIEFFE SAS",01066710326,ALTRO,altro,dry_run_would_create,,"OK (dry-run)"
20,"BT GROUP","Brianzatende S.R.L. - Marchio: BT Group",00909760969,ALTRO,altro,dry_run_would_create,,"OK (dry-run)"
21,"VILLA CHIARA","Villa Chiara S.R.L.",02228000879,SANITA',sanita,dry_run_would_create,,"OK (dry-run)"
22,"LAB. PERGOLA","Lab. Analisi Biocliniche Check-Up Dott.ssa Fornarotto S.R.L.",01166750867,SANITA',sanita,dry_run_would_create,,"OK (dry-run)"
23,"DIAGNOSTICA RESTIVO","Diagnostica Medica Restivo Società Consortile a R.L.",02541500845,SANITA',sanita,dry_run_would_create,,"OK (dry-run)"
24,"ASS. CONTRO TUMORE","LILT - Lega Italiana Lotta contro i Tumori",03994720872,SANITA',sanita,dry_run_would_create,,"OK (dry-run)"
25,SALVIA,"Salvia Farmaceutici S.R.L.",02851930871,ALTRO,altro,dry_run_would_create,,"OK (dry-run)"
26,"check-up Franzone","Check-Up Lab. Analisi Cliniche Dr. Valentino Franzone & C. S.A.S.",01050080868,SANITA',sanita,dry_run_would_create,,"OK (dry-run)"
27,"IL NUCLEO","Lab. Analisi Il Nucleo S.A.S. Dr.ssa Marianna Signore & C.",01158460863,SANITA',sanita,dry_run_would_create,,"OK (dry-run)"
28,"ADI MUSUMECI","Casa di Cura Musumeci - Gecas S.R.L.",03381600877,SANITA',sanita,dry_run_would_create,,"OK (dry-run)"
29,"SICULA COMPOST","Sicula Compost S.R.L.",05472300879,ALTRO,altro,dry_run_would_create,,"OK (dry-run)"
30,"ROMOLO HOSPITAL","ROMOLO HOSPITAL",02056980796,SANITA',sanita,dry_run_would_create,,"OK (dry-run)"
31,PROMETEO,"Cooperativa Sociale Prometeo Onlus",06260900821,SANITA',sanita,dry_run_would_create,,"OK (dry-run)"
32,SAMERCOM,"SOMERCOM S.R.L. (nome corretto)",03400520874,FOOD,alimentare,dry_run_would_create,,"OK (dry-run)"
33,TEO,"Teo S.R.L.",02096570805,SANITA',sanita,dry_run_would_create,,"OK (dry-run)"
34,"NEW LIFE","New Life Società Cooperativa Sociale Onlus Arl",06270470823,SANITA',sanita,skipped_invalid,,"Sede legale: CAP mancante (richiesto)"
35,"SENTIERO PER LA VITA","Sede operativa: Via Degli Elimi 89",04779150822,SANITA',sanita,dry_run_would_create,,"OK (dry-run)"
36,"XENIA SALUS","Xenia Salus S.R.L.",06363880821,SANITA',sanita,dry_run_would_create,,"OK (dry-run)"
37,"DIGITAL UNIFORM","Digital Uniforms S.R.L. - Sede legale Alghero",12439371001,ALTRO,altro,dry_run_would_create,,"OK (dry-run)"
38,"SUD MARMI","Sud Marmi S.R.L.",00594340812,ALTRO,altro,dry_run_would_create,,"OK (dry-run)"
39,"PERLA MARMI","Perla Marmi S.R.L.",02107900819,ALTRO,altro,dry_run_would_create,,"OK (dry-run)"
40,"TERME GALATRO","TERME GALATRO",03089980803,SANITA',sanita,dry_run_would_create,,"OK (dry-run)"
41,"FONDAZIONE GIGLIO","FONDAZIONE GIGLIO",05205490823,SANITA',sanita,dry_run_would_create,,"OK (dry-run)"
42,INTERMEDICA,INTERMEDICA,03761410822,SANITA',sanita,skipped_invalid,,"Sede legale: CAP mancante (richiesto)"
43,"ADI CL","ADI S.C.A.R.L. - Centrale Operativa Caltanissetta",07081900826,SANITA',sanita,dry_run_would_create,,"OK (dry-run)"
44,CONSOSAR,CONSOSAR,01799990898,SANITA',sanita,skipped_invalid,,"Sede legale: CAP mancante (richiesto)"
